System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
11:24:24:459, 11104949678337,   17.490,    7.000, 4900,  42.497,1270.258, 352.849,  31.388,1066.902, 296.362, 42,  0,   0.000,   0.000,   0.000,4095.875,4095.875,   0.000,   0.000,   0.000
11:24:24:570, 11105350320201,   17.601,   19.000, 4600,  67.485,1277.768, 354.936,  56.028,1073.137, 298.094, 49,  0,   0.000,   0.000,   0.000,4095.875,4095.875,   0.000,   0.000,   0.000
11:24:24:678, 11105739319909,   17.709,   19.000, 4600,  59.206,1284.166, 356.713,  47.719,1078.293, 299.526, 47,  0,   0.000,   0.000,   0.000,4095.875,4095.875,   0.000,   0.000,   0.000
11:24:24:789, 11106138825893,   17.820,   40.000, 4600,  85.841,1293.692, 359.359,  73.689,1086.471, 301.797, 51,  0,   0.000,   0.000,   0.000,4095.875,4095.875,   0.000,   0.000,   0.000
11:24:24:900, 11106538380011,   17.931,   18.000, 4600,  62.039,1300.578, 361.272,  50.360,1092.060, 303.350, 47,  0,   0.000,   0.000,   0.000,4095.875,4095.875,   0.000,   0.000,   0.000
11:24:25:009, 11106932126725,   18.041,    6.000, 1900,  30.812,1303.948, 362.208,  19.548,1094.198, 303.944, 41,  0,   0.000,   0.000,   0.000,4095.875,4095.875,   0.000,   0.000,   0.000
11:24:25:118, 11107321480205,   18.149,    6.000, 4900,  19.107,1306.014, 362.782,   7.944,1095.057, 304.183, 41,  0,   0.000,   0.000,   0.000,4095.875,4095.875,   0.000,   0.000,   0.000
11:24:25:226, 11107710872475,   18.257,    5.000, 4900,  20.597,1308.242, 363.401,   9.444,1096.079, 304.466, 39,  0,   0.000,   0.000,   0.000,4095.875,4095.875,   0.000,   0.000,   0.000
11:24:25:335, 11108105445689,   18.366,    6.000, 1500,  16.958,1310.101, 363.917,   5.896,1096.725, 304.646, 39,  0,   0.000,   0.000,   0.000,4095.875,4095.875,   0.000,   0.000,   0.000
11:24:25:446, 11108505781313,   18.478,    5.000, 4900,  25.034,1312.885, 364.690,  13.849,1098.265, 305.074, 39,  0,   0.000,   0.000,   0.000,4095.875,4095.875,   0.000,   0.000,   0.000
11:24:25:554, 11108894610945,   18.586,    5.000, 4900,  20.166,1315.063, 365.295,   9.016,1099.239, 305.344, 39,  0,   0.000,   0.000,   0.000,4095.875,4095.875,   0.000,   0.000,   0.000
11:24:25:665, 11109290361889,   18.696,    4.000, 1900,  17.650,1317.003, 365.834,   6.605,1099.965, 305.546, 38,  0,   0.000,   0.000,   0.000,4095.875,4095.875,   0.000,   0.000,   0.000
11:24:25:771, 11109675733965,   18.803,    4.000,  800,  17.819,1318.910, 366.364,   6.712,1100.684, 305.745, 38,  0,   0.000,   0.000,   0.000,4095.875,4095.875,   0.000,   0.000,   0.000
11:24:25:881, 11110070748937,   18.912,    1.000,  800,  11.952,1320.222, 366.728,   0.989,1100.792, 305.776, 37,  0,   0.000,   0.000,   0.000,4095.875,4095.875,   0.000,   0.000,   0.000
11:24:25:991, 11110466200565,   19.022,    2.000,  800,  11.987,1321.539, 367.094,   1.075,1100.910, 305.808, 37,  0,   0.000,   0.000,   0.000,4095.875,4095.875,   0.000,   0.000,   0.000
11:24:26:102, 11110865055871,   19.133,    2.000,  800,  12.135,1322.883, 367.467,   1.149,1101.037, 305.844, 37,  0,   0.000,   0.000,   0.000,4095.875,4095.875,   0.000,   0.000,   0.000
11:24:26:212, 11111262866105,   19.244,    3.000,  800,  12.715,1324.288, 367.858,   1.689,1101.224, 305.896, 37,  0,   0.000,   0.000,   0.000,4095.875,4095.875,   0.000,   0.000,   0.000
11:24:26:320, 11111652329943,   19.352,    1.000,  800,  11.969,1325.583, 368.217,   0.969,1101.329, 305.925, 36,  0,   0.000,   0.000,   0.000,4095.875,4095.875,   0.000,   0.000,   0.000
11:24:26:428, 11112040269279,   19.460,    3.000,  800,  12.117,1326.889, 368.580,   1.133,1101.451, 305.959, 37,  0,   0.000,   0.000,   0.000,4095.875,4095.875,   0.000,   0.000,   0.000
11:24:26:537, 11112431172060,   19.568,    5.000, 1600,  15.607,1328.583, 369.051,   4.573,1101.948, 306.097, 37,  0,   0.000,   0.000,   0.000,4095.875,4095.875,   0.000,   0.000,   0.000
11:24:26:646, 11112825939267,   19.678,    2.000,  800,  15.310,1330.262, 369.517,   4.250,1102.414, 306.226, 37,  0,   0.000,   0.000,   0.000,4095.875,4095.875,   0.000,   0.000,   0.000
11:24:26:757, 11113223365467,   19.788,    2.000,  800,  12.166,1331.605, 369.890,   1.221,1102.548, 306.263, 36,  0,   0.000,   0.000,   0.000,4095.875,4095.875,   0.000,   0.000,   0.000
11:24:26:867, 11113619852431,   19.898,    2.000,  800,  13.677,1333.112, 370.309,   2.624,1102.837, 306.344, 36,  0,   0.000,   0.000,   0.000,4095.875,4095.875,   0.000,   0.000,   0.000
11:24:26:979, 11114022076347,   20.010,    2.000,  800,  11.965,1334.448, 370.680,   1.067,1102.957, 306.377, 37,  0,   0.000,   0.000,   0.000,4095.875,4095.875,   0.000,   0.000,   0.000
11:24:27:086, 11114409957783,   20.118,    2.000,  800,  12.101,1335.752, 371.042,   1.091,1103.074, 306.409, 36,  0,   0.000,   0.000,   0.000,4095.875,4095.875,   0.000,   0.000,   0.000
11:24:27:196, 11114805541939,   20.228,    4.000,  800,  12.515,1337.128, 371.424,   1.514,1103.241, 306.456, 36,  0,   0.000,   0.000,   0.000,4095.875,4095.875,   0.000,   0.000,   0.000
11:24:27:303, 11115188636415,   20.334,    2.000,  800,  12.111,1338.416, 371.782,   1.176,1103.366, 306.490, 37,  0,   0.000,   0.000,   0.000,4095.875,4095.875,   0.000,   0.000,   0.000

Total Elapsed Time (sec) = 24.192823
Measured RDTSC Frequency (GHz) = 3.600

Cumulative Processor Energy_0 (Joules) = 1403.619751
Cumulative Processor Energy_0 (mWh) = 389.894375
Average Processor Power_0 (Watt) = 58.018021

Cumulative IA Energy_0 (Joules) = 1126.060120
Cumulative IA Energy_0 (mWh) = 312.794478
Average IA Power_0 (Watt) = 46.545213

Cumulative DRAM Energy_0 (Joules) = 0.000000
Cumulative DRAM Energy_0 (mWh) = 0.000000
Average DRAM Power_0 (Watt) = 0.000000
